sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:26:07.302793+00:00;P1;16.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:26:07.302793+00:00;P0;10.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:26:19.962934+00:00;humidity;52.80
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:26:19.962934+00:00;temperature;33.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:29:36.722889+00:00;P2;12.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:29:36.722889+00:00;P1;12.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:29:36.722889+00:00;P0;9.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:31:56.422949+00:00;P2;24.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:31:56.422949+00:00;P1;25.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:31:56.422949+00:00;P0;17.50
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:32:08.960517+00:00;humidity;54.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:32:08.960517+00:00;temperature;33.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:34:46.563082+00:00;P2;23.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:34:46.563082+00:00;P1;23.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:34:46.563082+00:00;P0;17.67
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:34:59.192842+00:00;humidity;55.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:34:59.192842+00:00;temperature;33.20
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:38:25.192958+00:00;P2;23.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:38:25.192958+00:00;P1;23.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:38:25.192958+00:00;P0;14.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:40:35.662711+00:00;P2;20.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:40:35.662711+00:00;P1;25.00
